1.,Kai'Sa                                                                                                    AD Carry,23.3%,49.1%,7.7%,8.2                                            /                                            6.4                                            /                                            6.8,0.0035
62,Tahm Kench,6.0%,51.6%,16.1%,0.0002,5.2 , 5.2 , 8.2
63,Trundle,5.9%,52.9%,2.3%,0.0008,6.2 , 5.8 , 7.7
64,Garen,5.7%,51.9%,2.2%,0.0010,7.0 , 5.6 , 4.7
65,Malphite,5.7%,51.0%,5.2%,0.0003,5.1 , 5.7 , 8.6
66,Hecarim,5.6%,51.0%,3.3%,0.0026,8.0 , 5.8 , 9.1
67,Riven,5.6%,49.1%,1.9%,0.0016,6.8 , 6.3 , 5.3
68,Vladimir,5.5%,50.7%,5.3%,0.0038,7.1 , 5.9 , 5.9
69,Zac,5.5%,51.1%,2.1%,0.0001,5.2 , 5.1 , 11.7
70,Twisted Fate,5.5%,48.9%,0.6%,0.0004,5.2 , 6.7 , 9.5
71,Shen,5.3%,52.5%,1.1%,0.0000,4.4 , 5.4 , 11.0
72,Xin Zhao,5.3%,51.1%,4.1%,0.0011,7.0 , 6.3 , 8.0
73,Tryndamere,5.3%,50.3%,8.9%,0.0015,7.2 , 6.1 , 4.1
74,Kassadin,5.2%,51.6%,12.7%,0.0078,8.2 , 5.9 , 5.8
75,Nunu & Willump,5.1%,51.4%,2.1%,0.0003,5.5 , 6.2 , 12.1
76.,Aatrox                                                                                                    Top,5.1%,49.3%,2.4%,6.0                                            /                                            6.1                                            /                                            6.1,0.0015
77,Nidalee,5.1%,47.6%,1.6%,0.0006,7.9 , 5.7 , 7.6
78,Poppy,5.0%,51.5%,3.1%,0.0002,6.0 , 5.9 , 8.9
79,Ahri,4.9%,51.3%,0.9%,0.0002,6.5 , 5.9 , 7.9
80,Gragas,4.8%,49.2%,0.4%,0.0005,5.5 , 5.8 , 8.8
81,Kayle,4.7%,52.8%,1.2%,0.0048,5.9 , 6.2 , 5.9
82,Nasus,4.7%,51.8%,3.6%,0.0019,5.4 , 5.5 , 5.5
83,Sona,4.7%,54.0%,0.6%,0.0000,2.5 , 6.0 , 15.4
84,Mordekaiser,4.6%,49.3%,4.0%,0.0010,6.7 , 6.5 , 5.0
85,Rengar,4.5%,47.0%,1.7%,0.0019,8.7 , 7.1 , 5.9
86,Diana,4.5%,49.1%,1.6%,0.0013,7.8 , 6.9 , 7.2
87,Veigar,4.5%,50.1%,0.8%,0.0006,7.2 , 6.5 , 7.4
88,Volibear,4.5%,49.0%,1.4%,0.0009,6.0 , 6.4 , 7.0
89,Rakan,4.5%,49.3%,0.4%,0.0000,1.9 , 6.1 , 15.0
90,Jarvan IV,4.4%,50.1%,0.6%,0.0006,6.2 , 6.0 , 13.0
91.,Alistar                                                                                                    Support,4.3%,49.4%,1.3%,2.0                                            /                                            6.7                                            /                                            14.3,0.0000
92,Gwen,4.3%,47.9%,2.9%,0.0023,6.3 , 6.5 , 5.0
93,Janna,4.3%,51.4%,0.3%,0.0000,2.0 , 6.0 , 15.5
94,Syndra,4.3%,47.9%,0.9%,0.0005,6.6 , 6.3 , 7.0
95,Seraphine,4.3%,50.1%,0.9%,0.0001,3.5 , 6.6 , 13.1
96,Dr. Mundo,4.3%,52.0%,3.1%,0.0005,5.2 , 5.5 , 7.2
97,Tristana,4.2%,48.4%,1.3%,0.0026,8.4 , 6.8 , 6.2
98,Zilean,4.2%,52.2%,1.4%,0.0000,2.7 , 5.5 , 14.1
99,Anivia,4.2%,53.0%,3.3%,0.0006,6.6 , 5.7 , 7.9
100,Kindred,4.1%,48.7%,1.6%,0.0041,8.4 , 7.1 , 6.9
101,Zyra,4.1%,51.8%,1.8%,0.0001,4.2 , 7.6 , 11.1
102,Lillia,4.0%,49.8%,1.2%,0.0015,7.1 , 6.4 , 8.5
103,Pantheon,3.9%,48.8%,0.9%,0.0012,7.1 , 7.6 , 8.4
104,Varus,3.8%,47.8%,0.3%,0.0019,7.8 , 6.9 , 7.5
105,Xayah,3.7%,48.4%,0.5%,0.0036,7.4 , 6.6 , 7.4
106.,Renekton                                                                                                    Top,3.6%,47.7%,1.9%,5.6                                            /                                            6.0                                            /                                            5.9,0.0001
107,Swain,3.6%,49.5%,1.1%,0.0012,5.8 , 7.7 , 11.4
108,Malzahar,3.6%,51.1%,3.1%,0.0004,5.1 , 6.3 , 7.9
109,Cho'Gath,3.6%,50.9%,1.0%,0.0002,6.4 , 6.1 , 6.8
110,Evelynn,3.5%,49.0%,8.5%,0.0011,9.6 , 6.0 , 7.1
111,Fiddlesticks,3.5%,50.7%,2.3%,0.0005,6.2 , 6.2 , 9.5
112,Bard,3.5%,48.7%,0.4%,0.0000,2.9 , 6.3 , 14.5
113,Fizz,3.5%,51.0%,4.5%,0.0018,8.9 , 6.4 , 6.0
114,Cassiopeia,3.4%,51.0%,1.7%,0.0008,7.2 , 6.6 , 6.2
115,Zoe,3.4%,47.9%,1.1%,0.0003,6.9 , 6.3 , 7.7
116,Ornn,3.4%,52.3%,0.4%,0.0001,4.1 , 5.7 , 9.2
117,Amumu,3.3%,52.3%,1.6%,0.0000,5.0 , 6.4 , 11.2
118,Nocturne,3.2%,48.3%,5.2%,0.0007,8.1 , 6.9 , 7.6
119,Orianna,3.2%,49.6%,0.2%,0.0010,5.3 , 5.8 , 9.6
120,Galio,3.2%,48.2%,0.5%,0.0001,4.1 , 6.6 , 11.4
121.,Lissandra                                                                                                    Mid,3.2%,50.7%,0.8%,5.7                                            /                                            6.5                                            /                                            9.1,0.0011
122,Vel'Koz,3.1%,49.9%,0.4%,0.0002,5.6 , 6.7 , 9.5
123,Braum,3.1%,50.7%,0.5%,0.0000,1.7 , 6.2 , 15.4
124,Karthus,3.1%,49.7%,1.3%,0.0009,8.3 , 8.1 , 9.9
125,Kog'Maw,3.0%,52.8%,0.5%,0.0042,8.8 , 7.2 , 7.2
126,Urgot,3.0%,52.2%,1.3%,0.0011,6.7 , 6.3 , 5.6
127,Ziggs,3.0%,51.3%,0.6%,0.0004,5.8 , 6.3 , 8.8
128,Ryze,3.0%,45.9%,0.3%,0.0004,5.4 , 6.2 , 6.7
129,Rammus,2.9%,51.7%,3.6%,0.0000,5.1 , 6.0 , 11.8
130,Elise,2.9%,50.6%,2.7%,0.0006,7.6 , 6.1 , 7.8
131,Gnar,2.8%,48.9%,0.7%,0.0004,5.4 , 6.2 , 6.8
132,Sivir,2.8%,50.6%,0.3%,0.0029,6.6 , 6.4 , 8.8
133,Rek'Sai,2.7%,51.5%,1.5%,0.0007,9.0 , 6.4 , 7.4
134,Sejuani,2.6%,52.2%,0.3%,0.0002,5.3 , 5.5 , 11.6
135,Wukong,2.5%,51.2%,0.6%,0.0007,6.7 , 5.9 , 6.3
136.,Yorick                                                                                                    Top,2.5%,52.7%,1.5%,4.5                                            /                                            5.5                                            /                                            4.4,0.0003
137,Annie,2.4%,50.5%,0.8%,0.0008,7.0 , 6.7 , 8.2
138,Udyr,2.4%,49.3%,0.7%,0.0008,6.1 , 5.8 , 7.7
139,Maokai,2.4%,50.5%,0.2%,0.0000,2.9 , 6.7 , 11.7
140,Singed,2.4%,50.4%,0.3%,0.0006,4.8 , 6.9 , 8.9
141,Kennen,2.4%,48.1%,0.7%,0.0010,5.6 , 6.1 , 6.4
142,Shyvana,2.3%,49.0%,0.3%,0.0014,7.1 , 5.9 , 6.8
143,Kalista,2.1%,48.4%,0.2%,0.0043,9.0 , 7.2 , 6.3
144,Rell,2.1%,49.6%,0.8%,0.0000,2.2 , 7.2 , 14.3
145,Rumble,1.9%,48.2%,0.2%,0.0003,6.7 , 6.5 , 7.5
146,Taliyah,1.8%,49.8%,0.2%,0.0016,7.9 , 7.0 , 9.0
147,Heimerdinger,1.8%,51.1%,0.5%,0.0004,5.3 , 6.9 , 7.1
148,Kled,1.8%,51.0%,0.8%,0.0006,6.5 , 6.1 , 7.5
149,Illaoi,1.8%,48.7%,1.2%,0.0008,5.2 , 6.8 , 4.7
150,Quinn,1.7%,51.9%,0.6%,0.0008,7.6 , 7.5 , 6.9
151.,"Neeko                                                                                                    Mid, Support",1.7%,47.3%,0.2%,5.6                                            /                                            6.8                                            /                                            7.9,0.0000
152,Azir,1.6%,45.3%,0.2%,0.0010,5.6 , 6.5 , 6.9
153,Ivern,1.6%,48.6%,0.4%,0.0000,2.7 , 5.4 , 13.5
154,Taric,1.5%,49.8%,0.1%,0.0000,2.0 , 6.4 , 14.5
155,Olaf,1.5%,48.4%,0.9%,0.0013,7.3 , 6.5 , 7.1
156,Skarner,1.0%,51.6%,0.1%,0.0000,4.6 , 5.5 , 10.3
157,Aurelion Sol,1.0%,49.9%,0.3%,0.0003,6.3 , 6.7 , 9.3
