51,Caitlyn,BOTTOM,TRUE,777,4,114,154
22,Ashe,BOTTOM,TRUE,30,91,62,76
51,Caitlyn,BOTTOM,FALSE,85,104,36,91
67,Vayne,BOTTOM,FALSE,17,76,104,234
51,Caitlyn,BOTTOM,TRUE,39,28,24,76
51,Caitlyn,BOTTOM,TRUE,777,120,39,91
51,Caitlyn,BOTTOM,TRUE,58,107,106,48
222,Jinx,BOTTOM,TRUE,104,245,76,98
202,Jhin,BOTTOM,FALSE,126,76,234,64
876,Lillia,JUNGLE,FALSE,86,245,516,48
523,Aphelios,BOTTOM,TRUE,17,104,38,91
51,Caitlyn,BOTTOM,TRUE,114,103,266,76
222,Jinx,BOTTOM,TRUE,84,4,104,154
24,Jax,TOP,FALSE,104,61,85,120
523,Aphelios,BOTTOM,TRUE,54,79,236,104
51,Caitlyn,BOTTOM,TRUE,126,104,157,234
222,Jinx,BOTTOM,TRUE,516,131,887,203
25,Morgana,UTILITY,TRUE,104,120,166,64
222,Jinx,BOTTOM,FALSE,17,102,126,120
89,Leona,UTILITY,TRUE,104,120,10,59
84,Akali,MIDDLE,TRUE,14,234,86,254
84,Akali,MIDDLE,TRUE,24,120,157,30
84,Akali,MIDDLE,TRUE,24,203,777,141
84,Akali,MIDDLE,TRUE,114,64,75,245
84,Akali,MIDDLE,FALSE,27,246,91,106
84,Akali,MIDDLE,TRUE,238,17,48,234
84,Akali,MIDDLE,TRUE,234,32,114,234
58,Renekton,MIDDLE,FALSE,27,254,24,59
84,Akali,MIDDLE,FALSE,42,102,62,131
84,Akali,MIDDLE,FALSE,114,254,30,78
64,LeeSin,BOTTOM,TRUE,62,44,17,11
84,Akali,MIDDLE,FALSE,58,141,122,25
84,Akali,MIDDLE,FALSE,22,432,13,33
84,Akali,MIDDLE,TRUE,75,13,39,876
84,Akali,MIDDLE,TRUE,875,154,223,234
84,Akali,MIDDLE,TRUE,6,60,41,91
84,Akali,MIDDLE,TRUE,234,19,107,121
84,Akali,MIDDLE,TRUE,126,254,7,59
84,Akali,MIDDLE,FALSE,10,64,164,91
84,Akali,MIDDLE,TRUE,166,64,6,91
166,Akshan,MIDDLE,TRUE,84,234,104,76
555,Pyke,MIDDLE,TRUE,39,245,104,64
555,Pyke,MIDDLE,FALSE,39,245,777,120
555,Pyke,MIDDLE,TRUE,74,104,14,131
166,Akshan,TOP,TRUE,4,76,134,64
555,Pyke,MIDDLE,TRUE,104,64,112,121
246,Qiyana,MIDDLE,FALSE,85,80,41,79
166,Akshan,BOTTOM,TRUE,114,121,126,64
555,Pyke,MIDDLE,FALSE,875,60,84,64
166,Akshan,MIDDLE,TRUE,74,421,39,5
246,Qiyana,MIDDLE,TRUE,58,35,887,154
246,Qiyana,MIDDLE,FALSE,85,254,117,91
555,Pyke,UTILITY,FALSE,166,91,126,421
166,Akshan,MIDDLE,TRUE,131,39,114,64
555,Pyke,BOTTOM,TRUE,24,254,92,107
555,Pyke,BOTTOM,TRUE,114,28,39,107
555,Pyke,BOTTOM,FALSE,39,421,166,234
555,Pyke,MIDDLE,TRUE,23,104,54,67
555,Pyke,MIDDLE,FALSE,36,102,236,121
555,Pyke,BOTTOM,TRUE,166,427,67,64
55,Katarina,BOTTOM,TRUE,54,876,21,555
145,Kaisa,BOTTOM,FALSE,126,64,114,107
202,Jhin,MIDDLE,FALSE,114,82,112,104
69,Cassiopeia,BOTTOM,TRUE,516,35,887,9
145,Kaisa,BOTTOM,TRUE,17,35,126,876
67,Vayne,BOTTOM,FALSE,887,91,19,35
67,Vayne,BOTTOM,TRUE,114,35,78,91
202,Jhin,JUNGLE,TRUE,84,203,887,120
104,Graves,JUNGLE,TRUE,222,99,131,245
106,Volibear,BOTTOM,TRUE,11,234,122,28
429,Kalista,BOTTOM,FALSE,126,245,887,234
236,Lucian,BOTTOM,FALSE,81,43,120,78
67,Vayne,BOTTOM,TRUE,84,246,777,163
67,Vayne,UTILITY,FALSE,23,203,24,234
202,Jhin,BOTTOM,TRUE,7,48,78,11
89,Leona,BOTTOM,TRUE,875,234,104,121
202,Jhin,BOTTOM,TRUE,36,104,41,238
81,Ezreal,BOTTOM,FALSE,164,234,36,104
202,Jhin,MIDDLE,TRUE,14,107,17,421
81,Ezreal,MIDDLE,FALSE,24,120,777,107
112,Viktor,TOP,FALSE,39,64,74,234
69,Cassiopeia,UTILITY,TRUE,17,120,164,245
39,Irelia,MIDDLE,TRUE,53,245,126,28
163,Taliyah,UTILITY,FALSE,164,120,875,30
134,Syndra,MIDDLE,TRUE,92,234,36,104
163,Taliyah,MIDDLE,TRUE,92,104,114,203
112,Viktor,MIDDLE,TRUE,98,59,24,120
31,Chogath,MIDDLE,TRUE,27,234,67,28
39,Irelia,UTILITY,TRUE,166,30,23,91
61,Orianna,MIDDLE,FALSE,23,120,112,39
163,Taliyah,MIDDLE,FALSE,31,30,777,238
39,Irelia,MIDDLE,FALSE,17,245,7,64
112,Viktor,UTILITY,FALSE,875,120,166,421
61,Orianna,MIDDLE,TRUE,126,59,134,78
163,Taliyah,MIDDLE,TRUE,74,64,39,28
112,Viktor,MIDDLE,TRUE,27,203,202,141
39,Irelia,MIDDLE,FALSE,76,98,104,245
39,Irelia,MIDDLE,TRUE,23,76,420,59
112,Viktor,MIDDLE,TRUE,164,91,234,202
136,AurelionSol,MIDDLE,TRUE,23,104,86,20
4,TwistedFate,MIDDLE,TRUE,23,107,41,79
777,Yone,MIDDLE,TRUE,84,28,41,91
4,TwistedFate,MIDDLE,FALSE,777,131,58,120
4,TwistedFate,MIDDLE,TRUE,23,79,24,64
4,TwistedFate,MIDDLE,FALSE,164,64,36,234
4,TwistedFate,MIDDLE,TRUE,76,166,134,64
4,TwistedFate,UTILITY,TRUE,39,421,14,254
4,TwistedFate,MIDDLE,TRUE,58,234,164,421
101,Xerath,MIDDLE,TRUE,23,421,57,20
4,TwistedFate,MIDDLE,TRUE,164,64,777,120
4,TwistedFate,BOTTOM,TRUE,114,64,23,234
4,TwistedFate,BOTTOM,FALSE,75,141,517,104
81,Ezreal,MIDDLE,TRUE,126,104,54,245
81,Ezreal,MIDDLE,FALSE,126,59,104,120
4,TwistedFate,MIDDLE,FALSE,19,120,122,203
4,TwistedFate,MIDDLE,TRUE,114,234,164,2
4,TwistedFate,MIDDLE,TRUE,126,28,10,131
4,TwistedFate,BOTTOM,TRUE,6,120,24,64
4,TwistedFate,MIDDLE,FALSE,24,64,114,104
81,Ezreal,MIDDLE,TRUE,164,64,78,20
142,Zoe,MIDDLE,FALSE,39,91,85,234
166,Akshan,MIDDLE,FALSE,48,104,266,234
34,Anivia,MIDDLE,TRUE,80,131,98,121
163,Taliyah,MIDDLE,TRUE,164,104,126,28
112,Viktor,TOP,TRUE,122,59,39,91
34,Anivia,MIDDLE,FALSE,164,64,19,28
711,Vex,TOP,TRUE,266,121,84,64
163,Taliyah,MIDDLE,TRUE,240,246,266,234
35,Shaco,MIDDLE,TRUE,268,57,63,80
62,MonkeyKing,MIDDLE,FALSE,59,39,31,429
31,Chogath,MIDDLE,TRUE,28,157,516,104
34,Anivia,TOP,TRUE,126,9,48,59
142,Zoe,MIDDLE,FALSE,266,104,98,60
163,Taliyah,JUNGLE,TRUE,31,203,24,121
166,Akshan,MIDDLE,FALSE,92,20,31,79
555,Pyke,JUNGLE,FALSE,202,86,80,69
201,Braum,JUNGLE,TRUE,63,157,83,35
254,Vi,JUNGLE,TRUE,104,412,84,147
38,Kassadin,JUNGLE,TRUE,31,117,145,56
142,Zoe,JUNGLE,FALSE,12,1,13,20
5,XinZhao,JUNGLE,FALSE,6,203,126,887
91,Talon,JUNGLE,TRUE,166,82,887,64
5,XinZhao,JUNGLE,FALSE,517,3,91,421
9,FiddleSticks,JUNGLE,TRUE,75,105,223,141
20,Nunu,JUNGLE,FALSE,28,161,14,76
64,LeeSin,JUNGLE,TRUE,74,38,8,106
64,LeeSin,JUNGLE,FALSE,114,42,875,121
64,LeeSin,JUNGLE,FALSE,122,99,236,107
64,LeeSin,JUNGLE,TRUE,875,245,164,107
59,JarvanIV,JUNGLE,TRUE,127,114,3,60
234,Viego,JUNGLE,FALSE,23,55,17,421
887,Gwen,JUNGLE,TRUE,114,38,58,876
91,Talon,JUNGLE,TRUE,166,3,82,11
245,Ekko,TOP,FALSE,27,69,10,238
234,Viego,TOP,FALSE,104,42,266,91
102,Shyvana,TOP,TRUE,14,122,80,59
64,LeeSin,TOP,TRUE,114,91,84,245
234,Viego,UTILITY,TRUE,24,8,31,48
5,XinZhao,TOP,FALSE,110,91,86,104
91,Talon,TOP,FALSE,236,267,107,69
72,Skarner,TOP,TRUE,131,142,39,64
72,Skarner,TOP,TRUE,104,103,516,131
72,Skarner,UTILITY,FALSE,131,126,875,64
72,Skarner,TOP,TRUE,28,8,107,11
101,Xerath,UTILITY,TRUE,39,104,777,20
72,Skarner,UTILITY,TRUE,121,34,166,120
72,Skarner,TOP,FALSE,104,34,86,30
72,Skarner,UTILITY,FALSE,887,13,98,48
72,Skarner,TOP,FALSE,64,166,107,57
3,Galio,UTILITY,FALSE,86,234,85,141
72,Skarner,TOP,TRUE,91,38,68,203
3,Galio,TOP,TRUE,10,35,114,154
111,Nautilus,TOP,TRUE,10,104,266,91
72,Skarner,JUNGLE,TRUE,64,7,777,120
101,Xerath,JUNGLE,FALSE,875,78,516,234
72,Skarner,JUNGLE,FALSE,28,238,887,113
117,Lulu,JUNGLE,FALSE,223,203,164,59
72,Skarner,JUNGLE,TRUE,120,245,887,79
72,Skarner,JUNGLE,TRUE,203,105,887,64
72,Skarner,JUNGLE,FALSE,107,166,141,59
2,Olaf,JUNGLE,TRUE,98,7,516,32
104,Graves,JUNGLE,TRUE,17,112,36,154
60,Elise,JUNGLE,FALSE,41,238,14,121
2,Olaf,JUNGLE,FALSE,92,111,150,254
234,Viego,JUNGLE,TRUE,107,254,39,121
104,Graves,JUNGLE,TRUE,89,157,115,17
238,Zed,JUNGLE,FALSE,98,134,86,234
21,MissFortune,JUNGLE,FALSE,236,166,69,412
60,Elise,JUNGLE,TRUE,39,166,86,876
2,Olaf,JUNGLE,FALSE,164,222,16,120
64,LeeSin,JUNGLE,FALSE,106,112,24,104
2,Olaf,JUNGLE,TRUE,223,517,41,5
421,RekSai,JUNGLE,TRUE,126,112,62,64
2,Olaf,JUNGLE,FALSE,7,102,14,35
19,Warwick,JUNGLE,TRUE,875,4,14,246
203,Kindred,JUNGLE,FALSE,98,34,875,64
203,Kindred,JUNGLE,FALSE,517,112,777,104
91,Talon,BOTTOM,FALSE,164,105,75,238
64,LeeSin,MIDDLE,FALSE,104,777,85,876
64,LeeSin,JUNGLE,TRUE,39,112,126,154
44,Taric,JUNGLE,FALSE,777,131,75,107
